NEO-B1,NEO-B1_pinout,QFP160,logo_snk.png
GND,P
PA2,A,OUT
PA3,A,OUT
P4,M,IN
P5,M,IN
P6,M,IN
P7,M,IN
PA4,A,OUT
PA5,A,OUT
GND,P
PA6,A,OUT
PA7,A,OUT
P8,M,IN
P9,M,IN
P10,M,IN
P11,M,IN
P12,M,IN
P13,M,IN
P14,M,IN
VCC,P
P15,M,IN
P16,M,IN
P17,M,IN
P18,M,IN
P19,M,IN
P20,M,IN
P21,M,IN
PA8,A,OUT
PA9,A,OUT
GND,P
PA10,A,OUT
PA11,A,OUT
P22,M,IN
P23,M,IN
SS1,C,IN
SS2,C,IN
NC
TDO0
TDO1
VCC,P
GND,P
TDO2
TDO3
GAD0,G,IN
GAD1,G,IN
GAD2,G,IN
GAD3,G,IN
TDO4
TDO5
GND,P
TDO6
TDO7
GBD0,G,IN
GBD1,G,IN
GBD2,G,IN
GBD3,G,IN
TDO8
TDO9
GND,P
VCC,P
TDO10
TDO11
WE1,C,IN
WE2,C,IN
WE3,C,IN
WE4,C,IN
NC
NC
NC
GND,P
CK1,C,IN
CK2,C,IN
CK3,C,IN
CK4,C,IN
LD1,C,IN
LD2,C,IN
CHG,C,IN
FLIP,?,IN
XMM,?,IN
VCC,P
GND,P
NC
XTRE,?,IN
1MB,K,IN
CHBL,C,IN
1H1,C,IN
6MB,K,IN
AS,C,IN
LDS,C,IN
GND,P
RW,C,IN
BNKB,C,IN
VCCON,?,IN
DOGE,?,IN
XTWE,?,IN
PCK1,C,IN
PCK2,C,IN
A1,A,IN
A2,A,IN
VCC,P
A3,A,IN
A4,A,IN
A5,A,IN
A6,A,IN
A7,A,IN
A8,A,IN
A9,A,IN
A10,A,IN
A11,A,IN
GND,P
A12,A,IN
A17,A,IN
A18,A,IN
A19,A,IN
A20,A,IN
A21,A,IN
A22I,A,IN
A23I,A,IN
NC
VCC,P
GND,P
NC
NC
NC
NC
NC
NC
HALT,C,OUT
RESET,C,OUT
GND,P
FIXD0,G,IN
FIXD1,G,IN
FIXD2,G,IN
FIXD3,G,IN
FIXD4,G,IN
FIXD5,G,IN
FIXD6,G,IN
FIXD7,G,IN
GND,P
VCC,P
NC
NC
NC
NC
NC
NC
NC
NC
NC
GND,P
NC
NC
NC
P0,M,IN
P1,M,IN
P2,M,IN
P3,M,IN
PA0,A,OUT
PA1,A,OUT
VCC,P
