NEO-D0,NEO-D0_pinout,QFPR64,logo_snk.png
D3,D,IN
D4,D,IN
D5,D,IN
OUT1,0,OUT
OUT2,0,OUT
OUT3,0,OUT
OUT4,0,OUT
OUT5,0,OUT
OUT6,0,OUT
GND,P
SDROM,C,OUT
6116CS,C,OUT
SDA11,A,IN
SDA12,A,IN
SDA13,A,IN
SDA14,A,IN
SDA15,A,IN
XOUT,K,OUT
XIN,K,IN
RESETP,C,IN
24M,K,OUT
68KCLK,K,OUT
68KCLKB,K,OUT
1MB,K,OUT
GND,P
VCC,P
12M,K,OUT
6MB,K,OUT
NMI,C,OUT
SDA2,A,IN
SDA3,A,IN
SDA4,A,IN
SDW,C,IN
RESET,C,IN
SDRD,C,IN
SDWR,C,IN
IORQ,C,IN
MREQ,C,IN
SDMRD,C,OUT
SDMWR,C,OUT
SDZ80R,C,OUT
GND,P
SDZ80W,C,OUT
SDZ80CLR,C,OUT
SDRD0,C,OUT
SDRD1,C,OUT
2610WR,C,OUT
2610RD,C,OUT
2610CS,C,OUT
NC,0
NC,0
NC,0
NC,0
TRES,0
BNK0,A,OUT
BNK1,A,OUT
GND,P
VCC,P
BNK2,A,OUT
BITWD0,C,IN
A4,A,IN
D0,D,IN
D1,D,IN
D2,D,IN
