NEO-MGA,NEO-MGA_CD_pinout,QFP160,logo_snk.png
GND,P
D7,D,BIDIR
D6,D,BIDIR
D5,D,BIDIR
D4,D,BIDIR
D3,D,BIDIR
D2,D,BIDIR
D1,D,BIDIR
D0,D,BIDIR
GND,P
AS,C,IN
UDS,C,IN
LDS,C,IN
RW,C,IN
WFCK,K,IN
SCOR,?,IN
MUTE,?,IN
SBSO,?,IN
EXCK,K,OUT
VCC,P
LRCK,K,IN
DATA,?,IN
BCLK,K,IN
CDDB3,D,BIDIR
CDDB2,D,BIDIR
CDDB1,D,BIDIR
CDDB0,D,BIDIR
HOCK,K,OUT
CDRST?,C,OUT
GND,P
CDIRQ,?,IN
LMUTE,?,IN
CDCK,?,IN
OUTWR,C,OUT
GA4-44,C,OUT
GA4-20,C,OUT
GA3-44,C,OUT
GA3-20,C,OUT
OFC59,?,OUT
VCC,P
GND,P
VOC95,?,OUT
VOC94,?,OUT
VOC92,?,OUT
VOC93,?,OUT
VOC91,?,OUT
U19-2/3,?,OUT
READ,C,OUT
WRITE,C,OUT
GND,P
OEL,C,OUT
WWL,C,OUT
OEU,C,OUT
WWU,C,OUT
SROMOE,C,OUT
WWR,C,OUT
W,C,OUT
GRC87,C,OUT
GND,P
VCC,P
?,?,OUT
LSPWE,C,OUT
LSPOE,C,OUT
BITW1,C,OUT
BITW0,C,OUT
OFC120,C,OUT
SROMCS,C,OUT
NC,?
CARDZONE,C,OUT
GND,P
GA8-OE,C,OUT
PORTOE,C,OUT
ROMOE,C,OUT
PALWR,C,OUT
PALBNK,C,OUT
U8-3,C,OUT
NC,?
68KCLK,K,IN
NC,?
VCC,P
GND,P
RESET,C,IN
?,?
?,?
?,?
?,?
?,?
?,?
?,?
GND,P
A23I,C,OUT
A22I,C,OUT
VCC,P
DTACK,C,OUT
XDTACK,C,BIDIR
OFC119,?,IN
SUD1,?,IN
VOC7,?,IN
XOWN,C,IN
VCC,P
XIACK4,C,IN
XIRQ4,C,OUT
XCIO5,C,IN
XCIO4,C,IN
XCIO3,C,IN
XCIO0,C,IN
A1,A,IN
A2,A,IN
A3,A,IN
GND,P
A4,A,IN
A5,A,IN
A6,A,IN
A7,A,IN
A8,A,IN
A9,A,IN
A10,A,IN
A11,A,IN
A12,A,IN
VCC,P
GND,P
A13,A,IN
A14,A,IN
A15,A,IN
A16,A,IN
A17,A,IN
A18,A,IN
A19,A,IN
A20,A,IN
GND,P
A21,A,IN
A22,A,IN
A23,A,IN
DRAMA0,A,OUT
DRAMA1,A,OUT
DRAMA2,A,OUT
DRAMA3,A,OUT
DRAMA4,A,OUT
GND,P
VCC,P
DRAMA5,A,OUT
DRAMA6,A,OUT
DRAMA7,A,OUT
DRAMA8,A,OUT
DRAMA9,A,OUT
NC,?
CAS3/4,C,OUT
CAS1/2,C,OUT
RAS,C,OUT
GND,P
DRAMWR,C,OUT
D15,D,?
D14,D,?
D13,D,?
D12,D,?
D11,D,?
D10,D,?
D9,D,?
D8,D,?
VCC,P
