NEO-SDR,NEO-SDR_pinout,QFPR100,logo_snk.png
VCC,P
VCC,P
GND,P
VCC,P
VCC,P
VCC,P
OUT,?,OUT
OUT,?,OUT
OUT,?,OUT
OUT,?,OUT
OUT,?,OUT
OUT,?,OUT
2610WR,C,OUT
2610RD,C,OUT
GND,P
2610CS,C,OUT
?,?
SDROM,C,OUT
?,?
NMI,C,OUT
SDRD1,C,OUT
SDRD0,C,OUT
SDMWR,C,OUT
SDMRD,C,OUT
6116CS,C,OUT
Z80WR,C,IN
Z80RD,C,IN
IORQ,C,IN
MREQ,C,IN
SDA2,A,IN
SDA3,A,IN
SDA4,A,IN
SDA11,A,IN
SDA12,A,IN
SDA13,A,IN
SDA14,A,IN
SDA15,A,IN
?,?
GRC2 205,?
GND,P
VCC,P
SDD0,D,BIDIR
SDD1,D,BIDIR
SDD2,D,BIDIR
SDD3,D,BIDIR
SDD4,D,BIDIR
SDD5,D,BIDIR
SDD6,D,BIDIR
SDD7,D,BIDIR
GND,P
GND,P
D15,D,BIDIR
D14,D,BIDIR
D13,D,BIDIR
D12,D,BIDIR
D11,D,BIDIR
D10,D,BIDIR
D9,D,BIDIR
D8,D,BIDIR
D5,D,IN
D4,D,IN
D3,D,IN
D2,D,IN
D1,D,IN
D0,D,IN
GND,P
DCR96,?
DCR97,?
VCC,P
RESET,C,IN
DCR98,?
DCR99,?
DCR100,?
DCR95,?
GRC2 197,?
GRC2 196,?
IPL1,C,OUT
IPL0,C,OUT
1UP,?,IN
1DOWN,?,IN
1LEFT,?,IN
1RIGHT,?,IN
1A,?,IN
1B,?,IN
1C,?,IN
1D,?,IN
2UP,?,IN
2DOWN,?,IN
2LEFT,?,IN
GND,P
VCC,P
2RIGHT,?,IN
2A,?,IN
2B,?,IN
2C,?,IN
2D,?,IN
1START,?,IN
SEL UP,?,IN
2START,?,IN
SEL DOWN,?,IN
