NEO-YSA2,NEO-YSA2_pinout,QFP144,logo_snk.png
GND,P
D15,D,BIDIR
D14,D,BIDIR
D13,D,BIDIR
D12,D,BIDIR
D11,D,BIDIR
D10,D,BIDIR
D9,D,BIDIR
VCC,P
D8,D,BIDIR
D5,D,BIDIR
D4,D,BIDIR
D3,D,BIDIR
D2,D,BIDIR
D1,D,BIDIR
D0,D,BIDIR
GND,P
?
?
RESET,C
?
?
?
?
?
?
IPL0,C
IPL1,C
VCC,P
VCC,P
VCC,P
?
VCC,P
?
GND,P
P1 UP,0,IN
P1 DOWN,0,IN
P1 LEFT,0,IN
P1 RIGHT,0,IN
P1 A,0,IN
P1 B,0,IN
P1 C,0,IN
P1 D,0,IN
GND,P
P2 UP,0,IN
P2 DOWN,0,IN
P2 LEFT,0,IN
P2 RIGHT,0,IN
P2 A,0,IN
P2 B,0,IN
P2 C,0,IN
P2 D,0,IN
P1 START,0,IN
SEL UP,0,IN
P2 START,0,IN
SEL DOWN,0,IN
VCC,P
BCLK,K,OUT
SDATA,D,OUT
LRCLK,K,OUT
GND,P
?
?
?
?
?
?
GND,P
TP11,0,OUT
TP10,0,OUT
TP9,0,OUT
TP8,0,OUT
TP7,0,OUT
X
X
TP6,0,OUT
TP5,0,OUT
TP4,0,OUT
GND,P
SDPA8,A,OUT
SDPA9,A,OUT
SDPA10,A,OUT
SDPA11,A,OUT
SDPMPX,C,OUT
SDPOE,C,OUT
VCC,P
SDRA8,A,OUT
SDRA9,A,OUT
SDRA20,A,OUT
SDRA21,A,OUT
SDRA22,A,OUT
SDRA23,A,OUT
SDRMPX,C,OUT
SDROE,C,OUT
GND,P
SDPAD0,M,BIDIR
SDPAD1,M,BIDIR
SDPAD2,M,BIDIR
SDPAD3,M,BIDIR
SDPAD4,M,BIDIR
SDPAD5,M,BIDIR
SDPAD6,M,BIDIR
SDPAD7,M,BIDIR
?
SDRAD0,M,BIDIR
SDRAD1,M,BIDIR
SDRAD2,M,BIDIR
SDRAD3,M,BIDIR
SDRAD4,M,BIDIR
SDRAD5,M,BIDIR
SDRAD6,M,BIDIR
SDRAD7,M,BIDIR
GND,P
SDD7,D,IN
SDD6,D,IN
SDD5,D,IN
SDD4,D,IN
SDD3,D,IN
SDD2,D,IN
SDD1,D,IN
SDD0,D,IN
VCC,P
SDMRD,C,OUT
SDROM,C,OUT
SDRD1,C,OUT
SDRD0,C,OUT
GND,P
SDA15,A,OUT
SDA14,A,OUT
SDA13,A,OUT
SDA12,A,OUT
SDA11,A,OUT
SDA10,A,OUT
SDA9,A,OUT
SDA8,A,OUT
VCC,P
SDA7,A,OUT
SDA6,A,OUT
SDA5,A,OUT
SDA4,A,OUT
SDA3,A,OUT
SDA2,A,OUT
SDA1,A,OUT
SDA0,A,OUT
