PCM,PCM_pinout,QFPR80,logo_snk.png
V D1,D,IN
V D2,D,IN
NC
V D3,D,IN
V D4,D,IN
V A-1,A,OUT
V A0,A,OUT
V A1,A,OUT
V A2,A,OUT
V A3,A,OUT
V A4,A,OUT
GND,P
V A5,A,OUT
V A6,A,OUT
V A7,A,OUT
V A8,A,OUT
V A9,A,OUT
V A10,A,OUT
V D5,D,IN
V D6,D,IN
V D7,D,IN
NC
68KCLKB,K,IN
NC
NC
INVIN,?,IN
INVOUT,?,OUT
SDRAD0,D,BIDIR
SDRAD1,D,BIDIR
SDRAD2,D,BIDIR
SDRAD3,D,BIDIR
GND,P
VCC,P
SDRAD4,D,BIDIR
SDRAD5,D,BIDIR
SDRAD6,D,BIDIR
SDRAD7,D,BIDIR
SDRA8,A,IN
SDRA9,A,IN
SDRA20,A,IN
SDRA21,A,IN
SDRA22,A,IN
NC
SDRA23,A,IN
SDRMPX,C,IN
SDROE,C,IN
MODE,C,IN
SDPAD0,D,BIDIR
SDPAD1,D,BIDIR
SDPAD2,D,BIDIR
SDPAD3,D,BIDIR
GND,P
SDPAD4,D,BIDIR
SDPAD5,D,BIDIR
SDPAD6,D,BIDIR
SDPAD7,D,BIDIR
SDPA8,A,IN
SDPA9,A,IN
SDPA10,A,IN
SDPA11,A,IN
SDPMPX,C,IN
NC
SDPOE,C,IN
NC
NC
V A11,A,OUT
V A12,A,OUT
V A13,A,OUT
V A14,A,OUT
V A15,A,OUT
V A16,A,OUT
GND,P
VCC,P
V A17,A,OUT
V A18,A,OUT
V A19/A,A,OUT
V A20/B,A,OUT
V A21/C,A,OUT
V A22/D,A,OUT
V D0,D,IN
