PRO-B0,PRO-B0_pinout,QFP136,logo_snk.png
VCC,P,
PA4,A,OUT
PA5,A,OUT
PA6,A,OUT
PA7,A,OUT
6MB,K,IN
DOTFIX,C,IN
PA8,A,OUT
PA9,A,OUT
PA10,A,OUT
PA11,A,OUT
SOO4,?,
SOO5,?,
SOO6,?,
SOO7,?,
SOO8,?,
SOO9,?,
SOO10,?,
SOO11,?,
PCK1,C,IN
CHBL,C,IN
Y0,?,
AS,C,IN
A22,A,IN
A23,A,IN
P16,M,IN
P17,M,IN
P18,M,IN
P19,M,IN
P20,M,IN
P21,M,IN
P22,M,IN
P23,M,IN
VCC,P,
GND,P,
GND,P,
PCK2,C,IN
TST1,?,
CSB,C,
RST,C,IN
SDZ80R,C,IN
SDD0,D,BIDIR
SDD1,D,BIDIR
SDD2,D,BIDIR
SDD3,D,BIDIR
SDD4,D,BIDIR
SDD5,D,BIDIR
SDD6,D,BIDIR
SDD7,D,BIDIR
SDZ80W,C,IN
SDZ80CLR,C,IN
SDW,C,IN
D8,D,BIDIR
D9,D,BIDIR
D10,D,BIDIR
D11,D,BIDIR
D12,D,BIDIR
D13,D,BIDIR
D14,D,BIDIR
D15,D,BIDIR
SDR,C,IN
IN0,C,IN
IN1,C,IN
IN2,C,IN
1UP,?,IN
1DOWN,?,IN
GND,P,
GND,P,
VCC,P,
1LEFT,?,IN
1RIGHT,?,IN
1A,?,IN
1B,?,IN
1C,?,IN
1D,?,IN
2UP,?,IN
2DOWN,?,IN
2LEFT,?,IN
2RIGHT,?,IN
2A,?,IN
2B,?,IN
2C,?,IN
2D,?,IN
1START,?,IN
SEL UP,?,IN
2START,?,IN
SEL DOWN,?,IN
IN24,?,IN
IN25,?,IN
IN26,?,IN
IN27,?,IN
A5,A,IN
A6,A,IN
A7,A,IN
A8,A,IN
A9,A,IN
A10,A,IN
A11,A,IN
A12,A,IN
58BG2,C,IN
58BG1,C,IN
VCC,P,
GND,P,
GND,P,
TST2,?,
1H1,K,IN
FLIP,C,IN
58CHG,?,IN
669LD2,C,IN
669LD1,C,IN
P15,M,IN
P14,M,IN
P13,M,IN
P12,M,IN
58WE4,C,IN
669CK4,C,IN
P11,M,IN
P10,M,IN
P9,M,IN
P8,M,IN
58WE2,C,IN
669CK2,C,IN
P7,M,IN
P6,M,IN
P5,M,IN
P4,M,IN
58WE3,C,IN
669CK3,C,IN
P3,M,IN
P2,M,IN
P1,M,IN
P0,M,IN
58WE1,C,IN
669CK1,C,IN
GND,P,
GND,P

