LSPC2-A2
QFP176
NC,?
D0,D,BIDIR
D1,D,BIDIR
D2,D,BIDIR
D3,D,BIDIR
GND,P
D4,D,BIDIR
D5,D,BIDIR
D6,D,BIDIR
D7,D,BIDIR
NC,?
VCC,P
D8,D,BIDIR
D9,D,BIDIR
D10,D,BIDIR
D11,D,BIDIR
GND,P
D12,D,BIDIR
D13,D,BIDIR
D14,D,BIDIR
D15,D,BIDIR
NC,?
B0,A,OUT
B1,A,OUT
B2,A,OUT
B3,A,OUT
B4,A,OUT
GND,P
B5,A,OUT
B6,A,OUT
B7,A,OUT
B8,A,OUT
VCC,P
B9,A,OUT
B10,A,OUT
B11,A,OUT
B12,A,OUT
B13,A,OUT
GND,P
B14,A,OUT
E0,D,BIDIR
E1,D,BIDIR
E2,D,BIDIR
E3,D,BIDIR
E4,D,BIDIR
E5,D,BIDIR
E6,D,BIDIR
E7,D,BIDIR
E8,D,BIDIR
GND,P
E9,D,BIDIR
E10,D,BIDIR
E11,D,BIDIR
E12,D,BIDIR
E13,D,BIDIR
VCC,P
E14,D,BIDIR
E15,D,BIDIR
BOE,C,OUT
BWE,C,OUT
GND,P
REF,?,OUT
TEST,?,IN
PAL/NTSC,?,IN
DOTA,C,IN
DOTB,C,IN
F0,D,BIDIR
F1,D,BIDIR
F2,D,BIDIR
F3,D,BIDIR
F4,D,BIDIR
GND,P
F5,D,BIDIR
F6,D,BIDIR
F7,D,BIDIR
F8,D,BIDIR
VCC,P
F9,D,BIDIR
F10,D,BIDIR
F11,D,BIDIR
F12,D,BIDIR
F13,D,BIDIR
GND,P
F14,D,BIDIR
F15,D,BIDIR
CWE,C,OUT
NC,?
C0,A,OUT
C1,A,OUT
C2,A,OUT
C3,A,OUT
C4,A,OUT
C5,A,OUT
GND,P
C6,A,OUT
C7,A,OUT
C8,A,OUT
C9,A,OUT
C10,A,OUT
VCC,P
4M,K,OUT
CA4,A,OUT
PCK1,C,OUT
PCK2,C,OUT
GND,P
1H1,C,OUT
2H1,A,OUT
CHG,C,OUT
H,C,OUT
EVEN1,C,OUT
EVEN2,C,OUT
P0,M,OUT
P1,M,OUT
P2,M,OUT
P3,M,OUT
GND,P
P4,M,OUT
P5,M,OUT
P6,M,OUT
P7,M,OUT
VCC,P
P8,M,OUT
P9,M,OUT
P10,M,OUT
P11,M,OUT
P12,M,OUT
GND,P
P13,M,OUT
P14,M,OUT
P15,M,OUT
DIVO,?,OUT
TSTD,?,IN
NC,?
P16,M,BIDIR
P17,M,BIDIR
P18,M,BIDIR
P19,M,BIDIR
GND,P
P20,M,BIDIR
P21,M,BIDIR
P22,M,BIDIR
P23,M,BIDIR
DIVI,?,IN
VCC,P
VCS,C,OUT
RESETP,C,OUT
LOAD,C,OUT
8M,K,OUT
GND,P
SYNC,C,OUT
BNKB,C,OUT
CHBL,C,OUT
LD1,C,OUT
LD2,C,OUT
WE1,C,OUT
WE2,C,OUT
WE3,C,OUT
WE4,C,OUT
CK1,C,OUT
GND,P
CK2,C,OUT
CK3,C,OUT
CK4,C,OUT
SS1,C,OUT
VCC,P
SS2,C,OUT
IPL0,C,OUT
IPL1,C,OUT
RESET,C,IN
24M,K,IN
GND,P
LSPOE,C,IN
LSPWE,C,IN
A1,A,IN
A2,A,IN
A3,A,IN
