NEO-DCR
QFPR100
SRAMOEL,C,OUT
SRAMOEU,C,OUT
SRAMWEL,C,OUT
SRAMWEU,C,OUT
SRAMWEN,C,OUT
NC
SROMCS,C,OUT
WRAMCS,C,OUT
SROMOE,C,OUT
WRL,C,OUT
WRU,C,OUT
WWL,C,OUT
WWU,C,OUT
CARTWR,C,OUT
GND,P
A23,A,IN
A22,A,IN
A21,A,IN
A20,A,IN
A19,A,IN
A18,A,IN
A17,A,IN
A16,A,IN
A15,A,IN
A14,A,IN
A13,A,IN
A12,A,IN
A11,A,IN
A10,A,IN
A9,A,IN
A8,A,IN
A7,A,IN
A6,A,IN
A5,A,IN
A4,A,IN
A3,A,IN
A2,A,IN
A1,A,IN
LDS,C,IN
GND,P
VCC,P
UDS,C,IN
RW,C,IN
AS,C,IN
RESET,C,IN
DTACK,C,OUT
VPA,C,OUT
D0,D,IN
D1,D,IN
D2,D,IN
68KCLK,K,IN
GND,P
GRC2 167,?
GRC2 168,?
GRC2 192,?
GRC2 191,?
GRC2 126,?
GRC2 125,?
GRC2 124,?
SFIXCS,C,OUT
SLOTCS,C,OUT
PORTADRS,C,OUT
PORTWEL,C,OUT
PORTWEU,C,OUT
PORTOEL,C,OUT
GND,P
PORTOEU,C,OUT
ROMOEL,C,OUT
ROMOEU,C,OUT
ROMOE,C,OUT
BUFOE,C,OUT
PDTACK,?,IN
PWAIT1,?,IN
PWAIT0,?,IN
ROMWAIT,?,IN
NC
NC
NC
DIPRD0,C,OUT
DIPRD1,C,OUT
DIP6OUT,?,OUT
DIP7OUT,?,OUT
DIP6IN,?,IN
DIP7IN,?,IN
GND,P
COIN3,C,OUT
COUNT1,?,OUT
COUNT2,?,OUT
SHADOW,C,OUT
GND,P
VCC,P
4990CLK,C,OUT
4990DIN,C,OUT
4990STB,C,OUT
SDR74,?
SDR67,?
SDR68,?
SDR71,?
SDR72,?
SDR73,?
