NEO-I0
QFPR64
PCK2B,C,IN
P0,M,IN
P1,M,IN
P2,M,IN
P3,M,IN
Q01,A,OUT
Q02,A,OUT
Q03,A,OUT
Q04,A,OUT
GND,P
Q05,A,OUT
Q06,A,OUT
Q07,A,OUT
Q08,A,OUT
P4,M,IN
P5,M,IN
P6,M,IN
P7,M,IN
ORI0,?,IN
ORI1,?,IN
ORO0,?,OUT
SYNCIN,C,IN
SYNCREV,C,IN
SYNCOUT,C,OUT
GND,P
VCC,P
DS0,C,OUT
DS1,C,OUT
ROMOE,C,OUT
ROMOEU,C,IN
ROMOEL,C,IN
RW,C,IN
PORTADRS,C,IN
SLOT0,C,IN
SLOT1,C,IN
P8,M,IN
P9,M,IN
P10,M,IN
Q11,A,OUT
Q12,A,OUT
Q13,A,OUT
GND,P
Q14,A,OUT
Q15,A,OUT
Q16,A,OUT
Q17,A,OUT
Q18,A,OUT
P11,M,IN
P12,M,IN
P13,M,IN
P14,M,IN
P15,M,IN
Q21,A,OUT
Q22,A,OUT
Q23,A,OUT
Q24,A,OUT
GND,P
VCC,P
RESET,C,IN
A7,A,IN
A1,A,IN
A2,A,IN
A3,A,IN
A4,A,IN
COUNTOUT,C,IN
