PRO-B0
QFP136
VCC,P
PA4,A,OUT
PA5,A,OUT
PA6,A,OUT
PA7,A,OUT
6MB,K,IN
C0 52,?
PA8,A,OUT
PA9,A,OUT
PA10,A,OUT
PA11,A,OUT
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
LSPC 109,?
LSPC 128,?
NC,?
AS,C,IN
A22,A,IN
A23,A,IN
P16,M,IN
P17,M,IN
P18,M,IN
P19,M,IN
P20,M,IN
P21,M,IN
P22,M,IN
P23,M,IN
VCC,P
GND,P
GND,P
LSPC 110,?
NC,?
NC,?
NC,?
SDZ80R,C,IN
SDD0,D,BIDIR
SDD1,D,BIDIR
SDD2,D,BIDIR
SDD3,D,BIDIR
SDD4,D,BIDIR
SDD5,D,BIDIR
SDD6,D,BIDIR
SDD7,D,BIDIR
SDZ80W,C,IN
SDZ80CLR,C,IN
SDW,C,OUT
D8,D,BIDIR
D9,D,BIDIR
D10,D,BIDIR
D11,D,BIDIR
D12,D,BIDIR
D13,D,BIDIR
D14,D,BIDIR
D15,D,BIDIR
C0 20,?
C0 19,?
C0 21,?
C0 22,?
1UP,?,IN
1DOWN,?,IN
GND,P
GND,P
VCC,P
1LEFT,?,IN
1RIGHT,?,IN
1A,?,IN
1B,?,IN
1C,?,IN
1D,?,IN
2UP,?,IN
2DOWN,?,IN
2LEFT,?,IN
2RIGHT,?,IN
2A,?,IN
2B,?,IN
2C,?,IN
2D,?,IN
1START,?,IN
SEL UP,?,IN
2START,?,IN
SEL DOWN,?,IN
CN6,?
CN6,?
CN6,?
VCC,P
A5,A,IN
A6,A,IN
A7,A,IN
A8,A,IN
A9,A,IN
A10,A,IN
A11,A,IN
A12,A,IN
LSPC 138,?
LSPC 137,?
VCC,P
GND,P
GND,P
NC,?
C0 50,?
GND,P
LSPC 117,?
LSPC 116,?
LSPC 115,?
P15,M,IN
P14,M,IN
P13,M,IN
P12,M,IN
LSPC 132,?
LSPC 136,?
P11,M,IN
P10,M,IN
P9,M,IN
P8,M,IN
LSPC 130,?
LSPC 134,?
P7,M,IN
P6,M,IN
P5,M,IN
P4,M,IN
LSPC 131,?
LSPC 135,?
P3,M,IN
P2,M,IN
P1,M,IN
P0,M,IN
LSPC 129,?
LSPC 133,?
GND,P
GND,P
