PRO-C0
QFP136
VCC,P
PORTWEU,C,OUT
ROMOEU,C,OUT
WRU,C,OUT
PORTOEU,C,OUT
SRAMWEU,C,OUT
SROMOEU,C,OUT
SRAMWEU,C,OUT
WWL,C,OUT
PORTWEL,C,OUT
ROMOEL,C,OUT
WRL,C,OUT
PORTOEL,C,OUT
SRAMWEL,C,OUT
SROMOEL,C,OUT
SRAMWEL,C,OUT
SDW,C,OUT
LSPC 115,?
B0 62,?
B0 61,?
B0 63,?
B0 64,?
LSPC 154
BITW0,C,OUT
BITW1,C,OUT
DIPRD0,C,OUT
DIPRD1,C,OUT
PAL,C,OUT
VPA,C,OUT
PORTADRS,C,OUT
CRDC,C,OUT
HC32 5,C,OUT
HC32 9,C,OUT
VCC,P
GND,P
GND,P
BNKB,C,IN
RESET,C,OUT
VCCON,C,IN
HALT,C,OUT
DOGE,?,IN
FIXD0,D,IN
FIXD1,D,IN
FIXD2,D,IN
FIXD3,D,IN
FIXD4,D,IN
FIXD5,D,IN
FIXD6,D,IN
FIXD7,D,IN
B0 106,?
1M,K,IN
B0,?
B0,?
LSPC 128,?
6MB,K,IN
PA0,A,OUT
PA1,A,OUT
PA2,A,OUT
PA3,A,OUT
A1,A,IN
A2,A,IN
A3,A,IN
A4,A,IN
LDS,C,IN
UDS,C,IN
DTACK,C,OUT
GND,P
GND,P
VCC,P
NC,?
68KCLK,K,IN
SLOTCS?,C,OUT
SLOTCS?,C,OUT
SLOTCS?,C,OUT
SLOTCS?,C,OUT
AS,C,IN
RW,C,IN
A17,A,IN
A18,A,IN
A19,A,IN
A20,A,IN
A21,A,IN
A22I,A,IN
A23I,A,IN
NC,?
P0,M,IN
P1,M,IN
P2,M,IN
P3,M,IN
P4,M,IN
P5,M,IN
P6,M,IN
P7,M,IN
P8,M,IN
P9,M,IN
P10,M,IN
P11,M,IN
P12,M,IN
P13,M,IN
P14,M,IN
P15,M,IN
VCC,P
GND,P
GND,P
LSPC 133,?
LSPC 134,?
LSPC 135,?
LSPC 136,?
LSPC 115,?
LSPC 116,?
GND,P
ULN2003,C,OUT
GAD2,G,IN
GAD3,G,IN
GAD0,G,IN
GAD1,G,IN
GBD2,G,IN
GBD3,G,IN
GBD0,G,IN
GBD1,G,IN
LSPC 129,?
LSPC 130,?
LSPC 137,?
LSPC 131,?
LSPC 132,?
LSPC 138,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
NC,?
WWU,C,OUT
GND,P
GND,P
